frequency [cm^-1], energy [eV]
(280.4642711089265+0j), (0.0347731375518086+0j)
(280.4642711089274+0j), (0.03477313755180872+0j)
(280.6921246360822+0j), (0.034801387788496944+0j)
(280.69212463608244+0j), (0.03480138778849697+0j)
(280.6921246360833+0j), (0.03480138778849708+0j)
(281.229795743444+0j), (0.03486805050920644+0j)
(281.2297957434443+0j), (0.03486805050920647+0j)
(281.2297957434447+0j), (0.03486805050920652+0j)
(281.4679527854401+0j), (0.03489757821891262+0j)
(282.6639451482675+0j), (0.035045862372110013+0j)
(282.6639451482679+0j), (0.03504586237211006+0j)
(284.93520384776656+0j), (0.035327462559047014+0j)
(284.93520384776724+0j), (0.0353274625590471+0j)
(286.2639309362966+0j), (0.035492203720677275+0j)
(286.26393093629787+0j), (0.03549220372067743+0j)
(286.263930936299+0j), (0.03549220372067757+0j)
(287.06145818370067+0j), (0.03559108449634843+0j)
(288.1497319090451+0j), (0.03572601324073286+0j)
(288.39123510824345+0j), (0.03575595582105413+0j)
(288.3912351082446+0j), (0.03575595582105427+0j)
(288.39123510824464+0j), (0.03575595582105428+0j)
(288.48340043383007+0j), (0.035767382864974766+0j)
(288.4834004338313+0j), (0.035767382864974925+0j)
(288.4834004338314+0j), (0.03576738286497493+0j)
(289.1043535287545+0j), (0.03584437123606978+0j)
(289.104353528755+0j), (0.03584437123606985+0j)
(289.1043535287563+0j), (0.03584437123607001+0j)
(290.25546766837255+0j), (0.03598709119878199+0j)
(290.2554676683727+0j), (0.03598709119878201+0j)
(290.25546766837283+0j), (0.035987091198782024+0j)
(290.35452501526026+0j), (0.03599937274443208+0j)
(293.01438378372075+0j), (0.03632915319902745+0j)
(293.0143837837215+0j), (0.03632915319902754+0j)
(293.8490924216732+0j), (0.03643264387956383+0j)
(293.84909242167413+0j), (0.03643264387956394+0j)
(293.84909242167447+0j), (0.036432643879563985+0j)
(296.7954947178023+0j), (0.036797951203456324+0j)
(296.7954947178026+0j), (0.036797951203456365+0j)
(296.7954947178033+0j), (0.036797951203456455+0j)
(297.3638988501898+0j), (0.036868424333607194+0j)
(297.36389885019037+0j), (0.036868424333607264+0j)
(297.3638988501906+0j), (0.03686842433360729+0j)
(297.41169949750184+0j), (0.0368743508584992+0j)
(297.4116994975024+0j), (0.03687435085849928+0j)
(297.4116994975028+0j), (0.03687435085849933+0j)
(299.381170875633+0j), (0.037118534186612+0j)
(299.3811708756334+0j), (0.03711853418661205+0j)
(299.38117087563376+0j), (0.03711853418661209+0j)
(299.82658966101826+0j), (0.03717375907722327+0j)
(299.8265896610187+0j), (0.037173759077223326+0j)
(302.23982641252144+0j), (0.037472962298985904+0j)
(302.23982641252144+0j), (0.037472962298985904+0j)
(302.2398264125222+0j), (0.037472962298985994+0j)
(304.9515372369853+0j), (0.03780917158912821+0j)
(304.95153723698604+0j), (0.0378091715891283+0j)
(304.9515372369862+0j), (0.03780917158912832+0j)
(305.92059640648847+0j), (0.03792931961248868+0j)
(306.38147233445926+0j), (0.037986460944517464+0j)
(306.3814723344602+0j), (0.03798646094451759+0j)
(306.68535946730856+0j), (0.03802413814678288+0j)
(306.68535946730896+0j), (0.03802413814678293+0j)
(306.68535946730907+0j), (0.038024138146782946+0j)
(307.49585127298263+0j), (0.03812462632280575+0j)
(311.3317257964627+0j), (0.03860021414691275+0j)
(311.33172579646276+0j), (0.038600214146912754+0j)
(311.33172579646316+0j), (0.0386002141469128+0j)
