       Step     Time          Energy         fmax
GPMin:   21 15:03:27       -4.733249        0.0649
GPMin:   22 15:03:36       -4.749702        0.0638
GPMin:   23 15:03:45       -4.763180        0.0642
GPMin:   24 15:03:54       -4.778996        0.0623
GPMin:   25 15:04:03       -4.796057        0.0662
GPMin:   26 15:04:12       -4.817331        0.0759
GPMin:   27 15:04:20       -4.837379        0.0810
GPMin:   28 15:04:28       -4.860097        0.0846
GPMin:   29 15:04:37       -4.879390        0.0832
GPMin:   30 15:04:45       -4.896755        0.0728
GPMin:   31 15:04:53       -4.907874        0.0616
GPMin:   32 15:05:01       -4.915123        0.0523
GPMin:   33 15:05:08       -4.920494        0.0433
GPMin:   34 15:05:15       -4.924059        0.0404
GPMin:   35 15:05:23       -4.928398        0.0372
GPMin:   36 15:05:29       -4.930069        0.0340
GPMin:   37 15:05:37       -4.932774        0.0285
GPMin:   38 15:05:43       -4.933006        0.0265
GPMin:   39 15:05:51       -4.933793        0.0055
       Step     Time          Energy         fmax
GPMin:    0 15:06:10       -2.787174        1.2861
GPMin:    1 15:06:23       -3.496899        0.4938
GPMin:    2 15:06:35       -3.728819        0.2974
GPMin:    3 15:06:48       -3.811479        0.1999
GPMin:    4 15:06:59       -3.844009        0.1599
GPMin:    5 15:07:11       -3.864556        0.1472
GPMin:    6 15:07:24       -3.928029        0.2008
GPMin:    7 15:07:37       -3.951436        0.2657
GPMin:    8 15:07:47       -3.987083        0.2067
GPMin:    9 15:07:57       -4.041824        0.2009
GPMin:   10 15:08:06       -4.076194        0.1964
GPMin:   11 15:08:18       -4.315915        0.1989
GPMin:   12 15:08:30       -4.408203        0.2369
GPMin:   13 15:08:40       -4.453727        0.2688
GPMin:   14 15:08:50       -4.500271        0.2777
GPMin:   15 15:09:00       -4.569292        0.2532
GPMin:   16 15:09:10       -4.641659        0.1951
GPMin:   17 15:09:21       -4.694340        0.1567
GPMin:   18 15:09:31       -4.723203        0.1477
GPMin:   19 15:09:40       -4.738473        0.1161
GPMin:   20 15:09:49       -4.748048        0.0791
GPMin:   21 15:09:58       -4.755014        0.0754
GPMin:   22 15:10:06       -4.762874        0.0855
GPMin:   23 15:10:15       -4.772235        0.0665
GPMin:   24 15:10:24       -4.782390        0.0759
GPMin:   25 15:10:33       -4.794677        0.0914
GPMin:   26 15:10:42       -4.811255        0.0839
GPMin:   27 15:10:51       -4.829906        0.0749
GPMin:   28 15:10:59       -4.849516        0.0799
GPMin:   29 15:11:07       -4.868041        0.0799
GPMin:   30 15:11:16       -4.883906        0.0719
GPMin:   31 15:11:24       -4.896118        0.0682
GPMin:   32 15:11:32       -4.904950        0.0654
GPMin:   33 15:11:40       -4.912048        0.0581
GPMin:   34 15:11:48       -4.918010        0.0550
GPMin:   35 15:11:56       -4.922532        0.0562
GPMin:   36 15:12:04       -4.926245        0.0423
GPMin:   37 15:12:12       -4.928405        0.0327
GPMin:   38 15:12:21       -4.930608        0.0440
GPMin:   39 15:12:29       -4.931560        0.0343
GPMin:   40 15:12:37       -4.932645        0.0220
GPMin:   41 15:12:45       -4.933196        0.0110
       Step     Time          Energy         fmax
GPMin:    0 15:12:59       -3.166887        1.3520
GPMin:    1 15:13:09       -4.009992        0.6029
GPMin:    2 15:13:19       -4.288550        0.2555
GPMin:    3 15:13:28       -4.354540        0.0973
GPMin:    4 15:13:37       -4.363860        0.1250
GPMin:    5 15:13:45       -4.377198        0.1077
GPMin:    6 15:14:19       -4.401454        0.1140
GPMin:    7 15:14:40       -4.408171        0.1069
GPMin:    8 15:15:03       -4.410719        0.1698
GPMin:    9 15:15:14       -4.424291        0.0718
GPMin:   10 15:15:22       -4.429746        0.0847
GPMin:   11 15:15:32       -4.449504        0.1268
GPMin:   12 15:15:53       -4.462830        0.0626
GPMin:   13 15:16:14       -4.463612        0.0350
GPMin:   14 15:16:37       -4.475652        0.0993
GPMin:   15 15:16:47       -4.487848        0.1385
GPMin:   16 15:16:56       -4.501912        0.1499
GPMin:   17 15:17:05       -4.535417        0.1852
GPMin:   18 15:17:15       -4.563670        0.1904
GPMin:   19 15:17:24       -4.594712        0.1974
GPMin:   20 15:17:33       -4.618749        0.1939
GPMin:   21 15:17:45       -4.698494        0.1595
GPMin:   22 15:17:55       -4.726790        0.1759
GPMin:   23 15:18:04       -4.742932        0.1882
GPMin:   24 15:18:14       -4.777504        0.1365
GPMin:   25 15:18:23       -4.806912        0.1093
GPMin:   26 15:18:31       -4.819080        0.1085
GPMin:   27 15:18:39       -4.833309        0.0971
GPMin:   28 15:18:47       -4.849867        0.0762
GPMin:   29 15:18:56       -4.863638        0.0604
GPMin:   30 15:19:04       -4.870822        0.0548
GPMin:   31 15:19:12       -4.878131        0.0500
GPMin:   32 15:19:20       -4.883286        0.0297
GPMin:   33 15:19:28       -4.885728        0.0298
GPMin:   34 15:19:36       -4.887780        0.0357
GPMin:   35 15:19:44       -4.889073        0.0185
       Step     Time          Energy         fmax
GPMin:    0 15:19:58       -2.897058        1.2817
GPMin:    1 15:20:06       -3.779717        0.5803
GPMin:    2 15:20:14       -4.080584        0.2232
GPMin:    3 15:20:24       -4.153122        0.0328
GPMin:    4 15:20:32       -4.155010        0.0030
       Step     Time          Energy         fmax
GPMin:    0 15:20:47       -3.179649        1.3467
GPMin:    1 15:20:57       -4.017770        0.6004
GPMin:    2 15:21:07       -4.293420        0.2527
GPMin:    3 15:21:18       -4.359009        0.0987
GPMin:    4 15:21:26       -4.368447        0.1249
GPMin:    5 15:21:34       -4.381129        0.1089
GPMin:    6 15:22:09       -4.407354        0.1032
GPMin:    7 15:22:30       -4.413758        0.0690
GPMin:    8 15:22:38       -4.421338        0.0768
GPMin:    9 15:22:46       -4.426963        0.0720
GPMin:   10 15:23:21       -4.464814        0.1414
GPMin:   11 15:23:32       -4.507436        0.1726
GPMin:   12 15:23:42       -4.529152        0.2389
GPMin:   13 15:23:52       -4.582136        0.2533
GPMin:   14 15:24:02       -4.618932        0.2373
GPMin:   15 15:24:13       -4.713352        0.1801
GPMin:   16 15:24:34       -4.718582        0.1778
GPMin:   17 15:24:43       -4.761483        0.1459
GPMin:   18 15:24:53       -4.800790        0.1134
GPMin:   19 15:25:04       -4.836707        0.0879
GPMin:   20 15:25:13       -4.852905        0.0941
GPMin:   21 15:25:22       -4.863560        0.0693
GPMin:   22 15:25:30       -4.869866        0.0536
GPMin:   23 15:25:38       -4.875529        0.0460
GPMin:   24 15:25:47       -4.882858        0.0441
GPMin:   25 15:25:55       -4.886669        0.0274
GPMin:   26 15:26:03       -4.888019        0.0173
       Step     Time          Energy         fmax
GPMin:    0 15:26:18       -3.173544        1.3449
GPMin:    1 15:26:28       -4.013537        0.5993
GPMin:    2 15:26:39       -4.290519        0.2561
GPMin:    3 15:26:48       -4.356310        0.0987
GPMin:    4 15:26:56       -4.365538        0.1260
GPMin:    5 15:27:04       -4.379344        0.1048
GPMin:    6 15:27:13       -4.394631        0.1311
GPMin:    7 15:27:22       -4.407954        0.1136
GPMin:    8 15:27:41       -4.452494        0.1225
GPMin:    9 15:28:04       -4.455692        0.0657
GPMin:   10 15:28:48       -4.455704        0.0788
GPMin:   11 15:29:00       -4.482343        0.2266
GPMin:   12 15:29:09       -4.504124        0.2148
GPMin:   13 15:29:18       -4.548075        0.2361
GPMin:   14 15:29:54       -4.583223        0.2080
GPMin:   15 15:30:04       -4.600550        0.2050
GPMin:   16 15:30:15       -4.664263        0.1616
GPMin:   17 15:30:24       -4.673036        0.1544
GPMin:   18 15:30:33       -4.706302        0.1330
GPMin:   19 15:30:42       -4.736549        0.1204
GPMin:   20 15:30:50       -4.759389        0.1166
GPMin:   21 15:30:58       -4.787314        0.1046
GPMin:   22 15:31:08       -4.812554        0.0948
GPMin:   23 15:31:17       -4.835526        0.0882
GPMin:   24 15:31:26       -4.852213        0.0795
GPMin:   25 15:31:34       -4.864395        0.0642
GPMin:   26 15:31:42       -4.872976        0.0470
GPMin:   27 15:31:51       -4.880016        0.0324
GPMin:   28 15:31:58       -4.883986        0.0269
GPMin:   29 15:32:06       -4.887281        0.0277
GPMin:   30 15:32:14       -4.889520        0.0191
       Step     Time          Energy         fmax
GPMin:    0 15:32:30       -3.172392        1.3597
GPMin:    1 15:32:40       -4.013808        0.6056
GPMin:    2 15:32:51       -4.290879        0.2565
GPMin:    3 15:33:01       -4.356812        0.0989
GPMin:    4 15:33:09       -4.365942        0.1253
GPMin:    5 15:33:17       -4.379641        0.1055
GPMin:    6 15:33:51       -4.400457        0.1083
GPMin:    7 15:34:11       -4.416515        0.0836
GPMin:    8 15:34:45       -4.426476        0.1667
GPMin:    9 15:34:55       -4.428278        0.1384
GPMin:   10 15:35:26       -4.431462        0.1178
GPMin:   11 15:36:01       -4.439796        0.1052
GPMin:   12 15:36:13       -4.459615        0.1593
GPMin:   13 15:36:22       -4.477448        0.1508
GPMin:   14 15:36:32       -4.500306        0.1583
GPMin:   15 15:36:40       -4.516907        0.1693
GPMin:   16 15:36:53       -4.651544        0.2042
GPMin:   17 15:37:04       -4.689658        0.2798
GPMin:   18 15:37:13       -4.714347        0.2507
GPMin:   19 15:37:23       -4.760890        0.1295
GPMin:   20 15:37:32       -4.786797        0.1172
GPMin:   21 15:37:41       -4.803518        0.1069
GPMin:   22 15:37:49       -4.821422        0.0964
GPMin:   23 15:37:59       -4.840409        0.0834
GPMin:   24 15:38:08       -4.856213        0.0690
GPMin:   25 15:38:16       -4.867961        0.0554
GPMin:   26 15:38:24       -4.877074        0.0430
