       Step     Time          Energy         fmax
GPMin:    8 16:55:30       -4.417854        0.0691
GPMin:    9 16:55:40       -4.423560        0.0544
GPMin:   10 16:55:50       -4.429071        0.0460
GPMin:   11 16:56:00       -4.434382        0.0428
GPMin:   12 16:56:08       -4.440892        0.0345
GPMin:   13 16:56:17       -4.445406        0.0302
GPMin:   14 16:56:27       -4.450354        0.0268
GPMin:   15 16:56:36       -4.453960        0.0243
GPMin:   16 16:56:45       -4.457456        0.0234
GPMin:   17 16:56:54       -4.460392        0.0260
GPMin:   18 16:57:02       -4.466437        0.0350
GPMin:   19 16:57:11       -4.475478        0.0481
GPMin:   20 16:57:19       -4.493904        0.0663
GPMin:   21 16:57:28       -4.535944        0.1051
GPMin:   22 16:57:36       -4.591343        0.1322
GPMin:   23 16:57:45       -4.666178        0.1540
GPMin:   24 16:57:53       -4.747844        0.1649
GPMin:   25 16:58:02       -4.821859        0.1448
GPMin:   26 16:58:10       -4.870466        0.0989
GPMin:   27 16:58:18       -4.887271        0.0697
GPMin:   28 16:58:25       -4.891016        0.0743
GPMin:   29 16:58:33       -4.900209        0.0768
GPMin:   30 16:58:40       -4.910928        0.0556
GPMin:   31 16:58:47       -4.918626        0.0394
GPMin:   32 16:58:55       -4.923824        0.0359
GPMin:   33 16:59:03       -4.928300        0.0322
GPMin:   34 16:59:09       -4.932157        0.0175
       Step     Time          Energy         fmax
GPMin:    0 16:59:24       -4.637620        0.6149
GPMin:    1 16:59:35       -4.763751        0.2580
GPMin:    2 16:59:44       -4.827680        0.1564
GPMin:    3 16:59:53       -4.867675        0.0920
GPMin:    4 17:00:02       -4.893838        0.0919
GPMin:    5 17:00:12       -4.915136        0.0589
GPMin:    6 17:00:19       -4.925889        0.0317
GPMin:    7 17:00:26       -4.928831        0.0253
GPMin:    8 17:00:34       -4.931248        0.0222
GPMin:    9 17:00:42       -4.932455        0.0129
       Step     Time          Energy         fmax
GPMin:    0 17:00:58       -4.567645        0.2320
GPMin:    1 17:01:10       -4.704973        0.1904
GPMin:    2 17:01:21       -4.784339        0.1493
GPMin:    3 17:01:31       -4.835699        0.1090
GPMin:    4 17:01:41       -4.866806        0.0687
GPMin:    5 17:01:51       -4.883996        0.0743
GPMin:    6 17:02:00       -4.902194        0.0613
GPMin:    7 17:02:08       -4.915577        0.0500
GPMin:    8 17:02:17       -4.925133        0.0393
GPMin:    9 17:02:26       -4.930616        0.0232
GPMin:   10 17:02:35       -4.932635        0.0149
       Step     Time          Energy         fmax
GPMin:    0 17:02:52       -4.111704        0.4477
GPMin:    1 17:03:04       -4.270585        0.2685
GPMin:    2 17:03:15       -4.388732        0.2760
GPMin:    3 17:03:26       -4.479456        0.2986
GPMin:    4 17:03:37       -4.577049        0.3008
GPMin:    5 17:03:48       -4.663085        0.2692
GPMin:    6 17:03:59       -4.735911        0.1474
GPMin:    7 17:04:09       -4.756015        0.1112
GPMin:    8 17:04:19       -4.778315        0.0948
GPMin:    9 17:04:29       -4.794494        0.0742
GPMin:   10 17:04:38       -4.816744        0.0780
GPMin:   11 17:04:48       -4.840694        0.0722
GPMin:   12 17:04:58       -4.861356        0.0905
GPMin:   13 17:05:07       -4.882968        0.0807
GPMin:   14 17:05:16       -4.900508        0.0731
GPMin:   15 17:05:25       -4.911763        0.0680
GPMin:   16 17:05:34       -4.921834        0.0424
GPMin:   17 17:05:43       -4.926542        0.0414
GPMin:   18 17:05:50       -4.929717        0.0363
GPMin:   19 17:05:59       -4.932187        0.0229
GPMin:   20 17:06:06       -4.932891        0.0206
GPMin:   21 17:06:13       -4.933692        0.0081
       Step     Time          Energy         fmax
GPMin:    0 17:06:35       -4.111517        0.2529
GPMin:    1 17:06:50       -4.302495        0.2142
GPMin:    2 17:07:03       -4.400465        0.1469
GPMin:    3 17:07:15       -4.444105        0.0653
GPMin:    4 17:07:26       -4.455795        0.0452
GPMin:    5 17:07:49       -4.462807        0.0309
GPMin:    6 17:07:57       -4.465219        0.0298
GPMin:    7 17:08:08       -4.470095        0.0235
GPMin:    8 17:08:18       -4.472967        0.0178
       Step     Time          Energy         fmax
GPMin:    0 17:08:36       -4.105637        0.3239
GPMin:    1 17:08:48       -4.296192        0.2634
GPMin:    2 17:08:59       -4.402341        0.2604
GPMin:    3 17:09:10       -4.491653        0.2079
GPMin:    4 17:09:21       -4.541068        0.1169
GPMin:    5 17:09:31       -4.567131        0.1308
GPMin:    6 17:09:41       -4.611761        0.1253
GPMin:    7 17:09:51       -4.661372        0.1370
GPMin:    8 17:10:00       -4.699029        0.1140
GPMin:    9 17:10:09       -4.717058        0.0651
GPMin:   10 17:10:17       -4.723480        0.0572
GPMin:   11 17:10:24       -4.733673        0.0586
GPMin:   12 17:10:32       -4.744463        0.0559
GPMin:   13 17:10:41       -4.758817        0.0673
GPMin:   14 17:10:50       -4.773710        0.0654
GPMin:   15 17:10:59       -4.787322        0.0455
GPMin:   16 17:11:07       -4.795904        0.0473
GPMin:   17 17:11:15       -4.803679        0.0473
GPMin:   18 17:11:23       -4.811918        0.0458
GPMin:   19 17:11:32       -4.821364        0.0472
GPMin:   20 17:11:41       -4.833862        0.0534
GPMin:   21 17:11:49       -4.847891        0.0548
GPMin:   22 17:11:58       -4.862262        0.0505
GPMin:   23 17:12:07       -4.873152        0.0516
GPMin:   24 17:12:16       -4.880615        0.0438
GPMin:   25 17:12:24       -4.883255        0.0351
GPMin:   26 17:12:32       -4.886885        0.0233
GPMin:   27 17:12:38       -4.888750        0.0158
       Step     Time          Energy         fmax
GPMin:    0 17:12:54       -4.226199        0.4536
GPMin:    1 17:13:05       -4.383778        0.1741
