      Step     Time          Energy         fmax
BFGS:   51 13:33:27       -5.652277        0.0264
      Step     Time          Energy         fmax
BFGS:    0 13:33:28       13.158692       39.1027
BFGS:    1 13:33:28        1.730433       15.0849
BFGS:    2 13:33:28       -1.460660        9.2985
BFGS:    3 13:33:28       -3.033963        3.0480
BFGS:    4 13:33:28       -3.637515        1.4417
BFGS:    5 13:33:28       -3.862285        0.8313
BFGS:    6 13:33:28       -3.940539        0.6889
BFGS:    7 13:33:28       -3.969152        0.5731
BFGS:    8 13:33:28       -3.988467        0.4272
BFGS:    9 13:33:28       -4.005729        0.3155
BFGS:   10 13:33:29       -4.019546        0.2523
BFGS:   11 13:33:29       -4.027067        0.2835
BFGS:   12 13:33:29       -4.031756        0.3062
BFGS:   13 13:33:29       -4.053475        0.4053
BFGS:   14 13:33:29       -4.101291        0.7384
BFGS:   15 13:33:29       -4.160732        1.2648
BFGS:   16 13:33:29       -4.211517        0.9203
BFGS:   17 13:33:29       -4.260373        0.5809
BFGS:   18 13:33:29       -4.272969        0.3224
BFGS:   19 13:33:30       -4.288020        0.2875
BFGS:   20 13:33:30       -4.294887        0.2479
BFGS:   21 13:33:30       -4.310995        0.2794
BFGS:   22 13:33:30       -4.312728        0.1770
BFGS:   23 13:33:30       -4.315256        0.1076
BFGS:   24 13:33:30       -4.317761        0.0820
BFGS:   25 13:33:30       -4.318717        0.0739
BFGS:   26 13:33:30       -4.319211        0.0740
BFGS:   27 13:33:31       -4.319686        0.0937
BFGS:   28 13:33:31       -4.320460        0.1017
BFGS:   29 13:33:31       -4.321845        0.1034
BFGS:   30 13:33:31       -4.323160        0.1290
BFGS:   31 13:33:31       -4.324112        0.1299
BFGS:   32 13:33:31       -4.324786        0.1273
BFGS:   33 13:33:31       -4.325998        0.1323
BFGS:   34 13:33:31       -4.328688        0.1975
BFGS:   35 13:33:31       -4.334458        0.3074
BFGS:   36 13:33:32       -4.346718        0.4837
BFGS:   37 13:33:32       -4.359779        0.6152
BFGS:   38 13:33:32       -4.372877        0.8323
BFGS:   39 13:33:32       -4.391083        0.9293
BFGS:   40 13:33:32       -4.452182        0.8018
BFGS:   41 13:33:32       -4.395944        1.5469
BFGS:   42 13:33:32       -4.541651        0.4897
BFGS:   43 13:33:32       -4.543633        0.6152
BFGS:   44 13:33:32       -4.568724        0.5061
BFGS:   45 13:33:33       -4.583108        0.4197
      Step     Time          Energy         fmax
