# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    1.900000    -0.0000000000e+00     1.6684623845e-01    -0.0000000000e+00
    1.950000    -0.0000000000e+00     3.3650518069e-02     0.0000000000e+00
    2.000000    -0.0000000000e+00     4.0988275299e-02     0.0000000000e+00
    2.050000    -0.0000000000e+00     9.8805458829e-02     0.0000000000e+00
    2.100000    -0.0000000000e+00     1.2727757197e-01     0.0000000000e+00
    2.150000    -0.0000000000e+00     8.1171644423e-02     0.0000000000e+00
    2.200000    -0.0000000000e+00     2.6305823330e-02     0.0000000000e+00
    2.250000    -0.0000000000e+00     1.4163928753e-02    -0.0000000000e+00
    2.300000    -0.0000000000e+00     8.6206047155e-02    -0.0000000000e+00
    2.350000    -0.0000000000e+00     3.8558125882e-01    -0.0000000000e+00
    2.400000    -0.0000000000e+00     9.0956204515e-01     0.0000000000e+00
    2.450000    -0.0000000000e+00     1.3068810273e+00     0.0000000000e+00
    2.500000    -0.0000000000e+00     1.7316120996e+00     0.0000000000e+00
    2.550000    -0.0000000000e+00     4.4158574775e+00     0.0000000000e+00
    2.600000     0.0000000000e+00     1.3100106368e+01     0.0000000000e+00
    2.650000     0.0000000000e+00     2.3959911448e+01    -0.0000000000e+00
    2.700000    -0.0000000000e+00     2.6110068532e+01    -0.0000000000e+00
    2.750000    -0.0000000000e+00     1.9883615998e+01    -0.0000000000e+00
    2.800000    -0.0000000000e+00     1.1573342215e+01    -0.0000000000e+00
    2.850000     0.0000000000e+00     4.7290332245e+00    -0.0000000000e+00
    2.900000     0.0000000000e+00     1.7829846173e+00    -0.0000000000e+00
    2.950000     0.0000000000e+00     1.3752963747e+00    -0.0000000000e+00
    3.000000     0.0000000000e+00     1.0543699536e+00    -0.0000000000e+00
    3.050000     0.0000000000e+00     5.4570083068e-01    -0.0000000000e+00
    3.100000     0.0000000000e+00     4.1071671175e-01    -0.0000000000e+00
    3.150000     0.0000000000e+00     4.3772546912e-01    -0.0000000000e+00
    3.200000     0.0000000000e+00     2.9240962728e-01    -0.0000000000e+00
    3.250000    -0.0000000000e+00     1.7021771625e-01     0.0000000000e+00
    3.300000    -0.0000000000e+00     4.3637447426e-01    -0.0000000000e+00
    3.350000    -0.0000000000e+00     1.2197851519e+00    -0.0000000000e+00
    3.400000     0.0000000000e+00     1.7777676972e+00    -0.0000000000e+00
    3.450000     0.0000000000e+00     1.3348209055e+00    -0.0000000000e+00
    3.500000     0.0000000000e+00     6.1927463125e-01    -0.0000000000e+00
    3.550000    -0.0000000000e+00     4.8309689338e-01    -0.0000000000e+00
    3.600000    -0.0000000000e+00     7.7784470698e-01    -0.0000000000e+00
    3.650000    -0.0000000000e+00     9.2067391845e-01    -0.0000000000e+00
    3.700000     0.0000000000e+00     8.9571249562e-01    -0.0000000000e+00
    3.750000     0.0000000000e+00     1.2117708472e+00    -0.0000000000e+00
    3.800000     0.0000000000e+00     1.5239379371e+00     0.0000000000e+00
    3.850000     0.0000000000e+00     1.4754255066e+00     0.0000000000e+00
    3.900000     0.0000000000e+00     1.8399864955e+00     0.0000000000e+00
    3.950000     0.0000000000e+00     2.5759421412e+00    -0.0000000000e+00
    4.000000    -0.0000000000e+00     2.5454246851e+00    -0.0000000000e+00
    4.050000    -0.0000000000e+00     1.7411835504e+00    -0.0000000000e+00
    4.100000     0.0000000000e+00     1.0234605708e+00    -0.0000000000e+00
    4.150000     0.0000000000e+00     6.1556064190e-01    -0.0000000000e+00
    4.200000     0.0000000000e+00     5.0148553406e-01     0.0000000000e+00
    4.250000     0.0000000000e+00     5.9722829763e-01     0.0000000000e+00
    4.300000     0.0000000000e+00     5.3282330700e-01     0.0000000000e+00
    4.350000    -0.0000000000e+00     2.8115024704e-01     0.0000000000e+00
    4.400000    -0.0000000000e+00     1.0809409246e-01     0.0000000000e+00
    4.450000     0.0000000000e+00     1.1367255725e-01     0.0000000000e+00
    4.500000     0.0000000000e+00     3.1226677431e-01     0.0000000000e+00
    4.550000     0.0000000000e+00     6.3652128115e-01     0.0000000000e+00
    4.600000    -0.0000000000e+00     8.3955802751e-01     0.0000000000e+00
    4.650000    -0.0000000000e+00     8.0127042352e-01    -0.0000000000e+00
    4.700000    -0.0000000000e+00     6.1886267567e-01    -0.0000000000e+00
    4.750000     0.0000000000e+00     3.8456173035e-01    -0.0000000000e+00
    4.800000     0.0000000000e+00     2.2096042297e-01    -0.0000000000e+00
    4.850000     0.0000000000e+00     1.9003041978e-01    -0.0000000000e+00
    4.900000     0.0000000000e+00     2.2518801241e-01    -0.0000000000e+00
    4.950000     0.0000000000e+00     2.5731206875e-01    -0.0000000000e+00
    5.000000     0.0000000000e+00     3.0886285617e-01     0.0000000000e+00
    5.050000     0.0000000000e+00     4.7648077613e-01     0.0000000000e+00
    5.100000    -0.0000000000e+00     7.7624806459e-01     0.0000000000e+00
    5.150000    -0.0000000000e+00     9.3234648459e-01    -0.0000000000e+00
    5.200000    -0.0000000000e+00     7.3696006412e-01    -0.0000000000e+00
    5.250000     0.0000000000e+00     4.1159895490e-01    -0.0000000000e+00
    5.300000     0.0000000000e+00     2.1260432200e-01    -0.0000000000e+00
    5.350000    -0.0000000000e+00     1.4751410972e-01    -0.0000000000e+00
    5.400000    -0.0000000000e+00     1.2122626735e-01    -0.0000000000e+00
    5.450000    -0.0000000000e+00     8.4985799892e-02    -0.0000000000e+00
    5.500000    -0.0000000000e+00     6.7989869264e-02    -0.0000000000e+00
    5.550000     0.0000000000e+00     1.0621031465e-01    -0.0000000000e+00
    5.600000    -0.0000000000e+00     1.7727034682e-01     0.0000000000e+00
    5.650000    -0.0000000000e+00     2.3234036031e-01     0.0000000000e+00
    5.700000     0.0000000000e+00     2.1755199703e-01     0.0000000000e+00
    5.750000     0.0000000000e+00     1.4562047423e-01    -0.0000000000e+00
    5.800000     0.0000000000e+00     9.9996444810e-02    -0.0000000000e+00
    5.850000     0.0000000000e+00     1.3098858311e-01    -0.0000000000e+00
    5.900000    -0.0000000000e+00     1.8620993132e-01    -0.0000000000e+00
    5.950000    -0.0000000000e+00     1.6927314811e-01    -0.0000000000e+00
    6.000000     0.0000000000e+00     1.0820107350e-01    -0.0000000000e+00
    6.050000    -0.0000000000e+00     9.5178655623e-02    -0.0000000000e+00
    6.100000     0.0000000000e+00     1.2080913243e-01    -0.0000000000e+00
    6.150000     0.0000000000e+00     1.1771124998e-01     0.0000000000e+00
    6.200000     0.0000000000e+00     1.0870077729e-01    -0.0000000000e+00
    6.250000     0.0000000000e+00     1.5547775358e-01    -0.0000000000e+00
    6.300000     0.0000000000e+00     2.1529275168e-01    -0.0000000000e+00
    6.350000     0.0000000000e+00     1.9780223673e-01    -0.0000000000e+00
    6.400000     0.0000000000e+00     1.3365988207e-01     0.0000000000e+00
