# Photoabsorption spectrum from real-time propagation
# GPAW version: 20.1.0
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    8.850000    -0.0000000000e+00     0.0000000000e+00     2.5846791391e-02
    8.900000    -0.0000000000e+00     0.0000000000e+00     2.0850416673e-02
    8.950000    -0.0000000000e+00     0.0000000000e+00     1.6787699956e-02
    9.000000     0.0000000000e+00    -0.0000000000e+00     1.1960486378e-02
    9.050000     0.0000000000e+00    -0.0000000000e+00     9.6916006773e-03
    9.100000     0.0000000000e+00    -0.0000000000e+00     1.1355189547e-02
    9.150000     0.0000000000e+00     0.0000000000e+00     1.4708292186e-02
    9.200000     0.0000000000e+00     0.0000000000e+00     1.4612494904e-02
    9.250000     0.0000000000e+00     0.0000000000e+00     1.3449178754e-02
    9.300000     0.0000000000e+00    -0.0000000000e+00     1.1535968859e-02
    9.350000     0.0000000000e+00    -0.0000000000e+00     1.1692189530e-02
    9.400000     0.0000000000e+00    -0.0000000000e+00     1.4450911067e-02
    9.450000     0.0000000000e+00    -0.0000000000e+00     1.9269961432e-02
    9.500000     0.0000000000e+00    -0.0000000000e+00     2.3361516231e-02
    9.550000     0.0000000000e+00    -0.0000000000e+00     2.4047665300e-02
    9.600000     0.0000000000e+00     0.0000000000e+00     2.0589030931e-02
    9.650000     0.0000000000e+00     0.0000000000e+00     1.4785106537e-02
    9.700000    -0.0000000000e+00     0.0000000000e+00     1.1394545292e-02
    9.750000    -0.0000000000e+00     0.0000000000e+00     8.5810958869e-03
    9.800000     0.0000000000e+00     0.0000000000e+00     7.7846733460e-03
    9.850000    -0.0000000000e+00    -0.0000000000e+00     9.3384487907e-03
    9.900000    -0.0000000000e+00    -0.0000000000e+00     1.4723592955e-02
    9.950000    -0.0000000000e+00    -0.0000000000e+00     1.7886761922e-02
   10.000000    -0.0000000000e+00    -0.0000000000e+00     1.5458309530e-02
   10.050000     0.0000000000e+00    -0.0000000000e+00     1.3113462593e-02
   10.100000     0.0000000000e+00    -0.0000000000e+00     1.3138340862e-02
   10.150000     0.0000000000e+00     0.0000000000e+00     1.2363066814e-02
   10.200000     0.0000000000e+00     0.0000000000e+00     1.2503236342e-02
   10.250000     0.0000000000e+00     0.0000000000e+00     1.8117866670e-02
   10.300000     0.0000000000e+00     0.0000000000e+00     2.1500144863e-02
   10.350000     0.0000000000e+00    -0.0000000000e+00     1.9138999474e-02
   10.400000    -0.0000000000e+00    -0.0000000000e+00     1.4177042934e-02
   10.450000    -0.0000000000e+00     0.0000000000e+00     1.1009501512e-02
   10.500000     0.0000000000e+00     0.0000000000e+00     7.7611928464e-03
   10.550000     0.0000000000e+00     0.0000000000e+00     5.9316252140e-03
   10.600000     0.0000000000e+00     0.0000000000e+00     7.3482298398e-03
   10.650000     0.0000000000e+00    -0.0000000000e+00     1.1544007228e-02
