# Kick = [    1.000000000000e-05,     0.000000000000e+00,     0.000000000000e+00]
#            time            norm                    dmx                    dmy                    dmz
        249.28848127       3.01147995e-15    -1.455617001607e-03     1.942221943594e-03     3.569180322745e-03
        250.52872247      -5.27355937e-16    -1.404454896555e-03     1.941841010940e-03     3.571541445207e-03
        251.76896367      -2.63677968e-16    -1.350141414346e-03     1.941452523020e-03     3.573704653138e-03
        253.00920487       1.48492330e-15    -1.293547790500e-03     1.941101258718e-03     3.575627061040e-03
        254.24944607       1.41553436e-15    -1.235474615421e-03     1.940793369986e-03     3.577263323813e-03
        255.48968727       1.74860126e-15    -1.176926169240e-03     1.940535635895e-03     3.578588146728e-03
        256.72992847       1.65145675e-15    -1.118882874905e-03     1.940325715664e-03     3.579587439741e-03
        257.97016967      -9.15933995e-16    -1.062176536336e-03     1.940199485414e-03     3.580243200086e-03
        259.21041087       1.02695630e-15    -1.007689417938e-03     1.940201116311e-03     3.580556241967e-03
        260.45065207       4.24660307e-15    -9.564452554920e-04     1.940334392451e-03     3.580528760031e-03
        261.69089327       1.60982339e-15    -9.094613453535e-04     1.940569921300e-03     3.580122631827e-03
        262.93113447       4.99600361e-16    -8.674983196819e-04     1.940870379231e-03     3.579323576659e-03
        264.17137567       4.02455846e-15    -8.311412654001e-04     1.941244487073e-03     3.578174987127e-03
        265.41161687       8.04911693e-16    -8.009591366380e-04     1.941716557875e-03     3.576713248929e-03
        266.65185807       1.33226763e-15    -7.776655575080e-04     1.942269987087e-03     3.574968551925e-03
        267.89209927       5.41233725e-16    -7.618388723456e-04     1.942860900904e-03     3.572987702069e-03
        269.13234047       2.96984659e-15    -7.537997787006e-04     1.943491329603e-03     3.570744427255e-03
        270.37258167       1.51267887e-15    -7.537508088897e-04     1.944069500291e-03     3.568214556748e-03
        271.61282287       4.31599201e-15    -7.617158904383e-04     1.944632299930e-03     3.565469243996e-03
        272.85306407       1.55431223e-15    -7.774346806535e-04     1.945170671532e-03     3.562615408742e-03
        274.09330527       1.95676808e-15    -8.006093596702e-04     1.945697407150e-03     3.559689615894e-03
        275.33354647       1.47104551e-15    -8.308170912619e-04     1.946201593476e-03     3.556714222759e-03
        276.57378767       4.87110352e-15    -8.675183195530e-04     1.946654462254e-03     3.553759810007e-03
        277.81402887       5.16253706e-15    -9.100052005380e-04     1.947036245809e-03     3.550792939614e-03
        279.05427007      -2.16493490e-15    -9.575335931595e-04     1.947357961314e-03     3.547879690336e-03
        280.29451127       1.88737914e-15    -1.009179033386e-03     1.947629767544e-03     3.545102882820e-03
        281.53475247       2.31759056e-15    -1.063861692107e-03     1.947848004353e-03     3.542530549135e-03
        282.77499367      -7.63278329e-16    -1.120563135421e-03     1.947993041250e-03     3.540178160166e-03
        284.01523487      -6.93889390e-16    -1.178193942334e-03     1.948066033233e-03     3.538088289738e-03
        285.25547607       3.05311332e-16    -1.235506502928e-03     1.948091518646e-03     3.536283051384e-03
        286.49571728       2.74780199e-15    -1.291422702026e-03     1.948085275628e-03     3.534788915766e-03
        287.73595848       1.45716772e-15    -1.345121658955e-03     1.948026109913e-03     3.533652930612e-03
        288.97619968       1.17961196e-15    -1.395731623473e-03     1.947927254532e-03     3.532863563609e-03
        290.21644088       2.94209102e-15    -1.442352826975e-03     1.947836901405e-03     3.532379246428e-03
        291.45668208       1.01307851e-15    -1.484186624825e-03     1.947732596696e-03     3.532225062070e-03
        292.69692328      -1.15185639e-15    -1.520636510254e-03     1.947582834798e-03     3.532423058046e-03
        293.93716448       2.28983499e-15    -1.551283516333e-03     1.947409009928e-03     3.532963609794e-03
        295.17740568       4.44089210e-16    -1.575843228040e-03     1.947219172591e-03     3.533861650317e-03
        296.41764688      -4.57966998e-16    -1.594121029536e-03     1.946970731448e-03     3.535128690103e-03
        297.65788808      -1.62370117e-15    -1.606012140980e-03     1.946649188490e-03     3.536711330771e-03
        298.89812928      -5.55111512e-16    -1.611537128438e-03     1.946274247875e-03     3.538574508909e-03
        300.13837048       9.15933995e-16    -1.610768936591e-03     1.945855789483e-03     3.540709741937e-03
        301.37861168       5.68989300e-16    -1.603929611818e-03     1.945414624390e-03     3.543097700541e-03
        302.61885288       3.10862447e-15    -1.591302282979e-03     1.944953403473e-03     3.545685858003e-03
        303.85909408       2.15105711e-15    -1.573270996464e-03     1.944460244900e-03     3.548415288752e-03
        305.09933528       1.22124533e-15    -1.550282712441e-03     1.943945691820e-03     3.551280975501e-03
        306.33957648      -2.77555756e-16    -1.522730641367e-03     1.943424419320e-03     3.554271039110e-03
        307.57981768      -1.36002321e-15    -1.491018561139e-03     1.942906724980e-03     3.557319193833e-03
        308.82005888       1.06858966e-15    -1.455609445483e-03     1.942416175449e-03     3.560383957811e-03
        310.06030008      -3.88578059e-16    -1.416960357643e-03     1.941980863640e-03     3.563457512402e-03
